ID	KoxWt_log2FC	KoxWt_p	KoOokxWtOok_log2FC	KoOokxWtOok_p	1614.Gx507.G_log2FC	1614.Gx507.G_p	1614.Gx507.8_log2FC	1614.Gx507.8_p	1614.Gx507.16_log2FC	1614.Gx507.16_p	1614.Gx507.24_log2FC	1614.Gx507.24_p	1614.8x507.G_log2FC	1614.8x507.G_p	1614.8x507.8_log2FC	1614.8x507.8_p	1614.8x507.16_log2FC	1614.8x507.16_p	1614.8x507.24_log2FC	1614.8x507.24_p	1614.16x507.G_log2FC	1614.16x507.G_p	1614.16x507.8_log2FC	1614.16x507.8_p	1614.16x507.16_log2FC	1614.16x507.16_p	1614.16x507.24_log2FC	1614.16x507.24_p	1614.24x507.G_log2FC	1614.24x507.G_p	1614.24x507.8_log2FC	1614.24x507.8_p	1614.24x507.16_log2FC	1614.24x507.16_p	1614.24x507.24_log2FC	1614.24x507.24_p	1614.GxWT_log2FC	1614.GxWT_p	1614.8xWT_log2FC	1614.8xWT_p	1614.16xWT_log2FC	1614.16xWT_p	1614.24xWT_log2FC	1614.24xWT_p	1614.8xWT_log2FC	1614.8xWT_p	1614.16xWT_log2FC	1614.16xWT_p	1614.24xWT_log2FC	1614.24xWT_p
PBANKA_0510700	-1.87668421159652	0.0683614406861143	-2.52796659078704	0.00123406005758947	0.0771629259750259	0.4	-5.05521984275054	0.1	-6.37401373473871	0.1	-7.41088927894921	0.1	2.9147569488508	0.1	-2.21762581987477	0.1	-3.53641971186294	0.1	-4.57329525607344	0.1	3.24222116965833	0.1	-1.89016159906724	0.1	-3.2089554910554	0.1	-4.24583103526591	0.1	5.3307337434933	0.1	0.198350974767729	0.7	-1.12044291722044	0.1	-2.15731846143094	0.1	-4.69073998261586	0.136263736263736	-1.85314595974009	0.232967032967033	-1.52568173893255	0.232967032967033	0.562830834902414	0.734065934065934	-3.44244692927038	0.00909090909090909	-3.11498270846285	0.00909090909090909	-1.02647013462788	0.209090909090909
PBANKA_0832800	-1.98537323476426	0.0144925070890881	-2.57153475525897	4.11353352529823e-05	-0.226888673280134	0.7	-6.00180721482564	0.1	-6.1728850035382	0.1	-7.02440641243982	0.1	3.00397456424918	0.1	-2.77094397729633	0.1	-2.94202176600889	0.1	-3.79354317491051	0.1	3.21106746215688	0.1	-2.56385107938863	0.1	-2.73492886810119	0.1	-3.58645027700281	0.1	4.5887863187803	0.1	-1.18613222276521	0.1	-1.35721001147777	0.1	-2.20873142037939	0.1	-4.85649682602095	0.0307692307692308	-1.62563358849164	0.232967032967033	-1.41854069058394	0.232967032967033	-0.0408218339605178	0.232967032967033	-3.16883630607191	0.00909090909090909	-2.96174340816421	0.00909090909090909	-1.58402455154079	0.00909090909090909
PBANKA_1329100	1.92898342709635	0.26566958415121	2.84676311198593	0.0314685314685315	-0.824355627572393	0.1	2.03487166317234	0.1	5.03801994324638	0.1	6.34169315838525	0.1	-2.30934267289236	0.1	0.549884617852376	0.7	3.55303289792642	0.1	4.85670611306528	0.1	-1.76680812143716	0.1	1.09241916930757	0.7	4.09556744938161	0.1	5.39924066452048	0.1	-3.27121151723382	0.1	-0.411984226489091	0.7	2.59116405358495	0.2	3.89483726872382	0.1	3.14755728430789	0.232967032967033	1.66257023898793	0.734065934065934	2.20510479044312	0.448351648351648	0.700701394646462	0.839560439560439	2.98654120961469	0.209090909090909	3.52907576106989	0.0636363636363636	2.02467236527322	0.281818181818182
PBANKA_0511000	-0.833229303923249	0.0449019952990878	-1.02317211083018	0.0018510900863842	-0.263400883202442	0.7	-5.82741179038357	0.1	-6.50799165199857	0.1	-6.77810079241481	0.1	4.74335834771589	0.1	-0.820652559465232	0.1	-1.50123242108024	0.1	-1.77134156149648	0.1	4.79912211112107	0.1	-0.764888796060054	0.1	-1.44546865767506	0.1	-1.7155777980913	0.1	5.71130479386211	0.1	0.147293886680988	0.7	-0.533285974934016	0.2	-0.803395115350261	0.1	-4.84422627949985	0.0307692307692308	0.162532951418486	0.232967032967033	0.218296714823664	0.232967032967033	1.13047939756471	0.839560439560439	-1.36440884734732	0.00909090909090909	-1.30864508394214	0.00909090909090909	-0.396462401201095	0.281818181818182
PBANKA_0706600	-2.42115124478739	0.00451305324101124	-3.10607992185702	4.11353352529823e-05	-0.366365213578488	0.2	-5.33444389405745	0.1	-6.37120720634241	0.1	-6.42089003050306	0.1	2.08638225106519	0.4	-2.88169642941376	0.1	-3.91845974169872	0.1	-3.96814256585938	0.1	1.97215687878986	0.4	-2.9959218016891	0.1	-4.03268511397406	0.1	-4.08236793813472	0.1	3.65066659474135	0.1	-1.31741208573761	0.1	-2.35417539802257	0.1	-2.40385822218323	0.1	-4.62322658612035	0.00879120879120879	-2.17047912147667	0.136263736263736	-2.28470449375201	0.136263736263736	-0.606194777800516	0.232967032967033	-3.58943291232396	0.00909090909090909	-3.70365828459929	0.00909090909090909	-2.0251485686478	0.00909090909090909
PBANKA_0711600	-2.14332259714509	0.0332414254207228	-2.94785879069307	4.11353352529823e-05	0.270285983498881	0.2	-5.54225477310438	0.1	-6.14372481414486	0.1	-6.23563319730577	0.1	2.83770940602033	0.1	-2.97483135058293	0.1	-3.57630139162341	0.1	-3.66820977478432	0.1	2.70256252282906	0.1	-3.1099782337742	0.1	-3.71144827481468	0.1	-3.80335665797559	0.1	4.34862243412304	0.1	-1.46391832248022	0.1	-2.0653883635207	0.1	-2.15729674668161	0.1	-4.41283170026403	0.18021978021978	-1.84540827774259	0.232967032967033	-1.98055516093385	0.232967032967033	-0.334495249639875	0.232967032967033	-3.40644750566356	0.00909090909090909	-3.54159438885482	0.00909090909090909	-1.89553447756085	0.00909090909090909
PBANKA_0901900	1.09025452436656	0.291342659225281	1.7121920558965	0.0399835458658988	-0.775558070223248	0.1	3.95432968530702	0.1	5.75456769942432	0.1	6.43740126184133	0.1	-4.07606601027377	0.1	0.653821745256497	0.7	2.4540597593738	0.1	3.13689332179081	0.1	-3.82491797987846	0.1	0.904969775651807	0.7	2.70520778976911	0.1	3.38804135218612	0.1	-5.4354126994007	0.1	-0.705524943870431	0.7	1.09471307024687	0.7	1.77754663266388	0.4	3.84268514408736	0.232967032967033	0.542177204036832	0.448351648351648	0.793325234432142	0.448351648351648	-0.817169485090096	0.839560439560439	2.08159160880703	0.0636363636363636	2.33273963920234	0.0636363636363636	0.722244919680106	0.727272727272727
PBANKA_1434600	1.45290991775515	0.159973019308058	2.12082444096856	0.00777457836281366	-0.550833651885085	0.1	4.44487242802273	0.1	5.92899256895248	0.1	6.45490342468592	0.1	-4.04295359500183	0.1	0.952752484905986	0.7	2.43687262583574	0.1	2.96278348156918	0.1	-3.49631686852952	0.1	1.49938921137829	0.7	2.98350935230804	0.1	3.50942020804148	0.1	-4.57952559087935	0.1	0.416180489028461	1	1.90030062995822	0.1	2.42621148569166	0.1	4.06948369244401	0.232967032967033	0.577363749327271	0.448351648351648	1.12400047579957	0.448351648351648	0.0407917534497457	0.632967032967033	2.1174695307703	0.0636363636363636	2.66410625724261	0.0636363636363636	1.58089753489278	0.145454545454545
PBANKA_1410950	-2.06887057699877	0.0172711929341355	-2.64367190751756	0.000287947346770876	-0.344466585442383	0.2	-5.35220577248282	0.1	-6.33438158739589	0.1	-6.60995526946311	0.1	2.1844665195065	0.1	-2.82327266753394	0.1	-3.80544848244701	0.1	-4.08102216451422	0.1	2.65223485616484	0.1	-2.3555043308756	0.1	-3.33768014578868	0.1	-3.61325382785589	0.1	4.49542577479064	0.1	-0.512313412249801	0.7	-1.49448922716287	0.1	-1.77006290923009	0.1	-4.66025230369605	0.00879120879120879	-2.13131919874717	0.232967032967033	-1.66355086208883	0.232967032967033	0.179640056536968	0.448351648351648	-3.56991443816505	0.00909090909090909	-3.10214610150672	0.00909090909090909	-1.25895518288092	0.0636363636363636
PBANKA_1218100	-1.76453347422285	0.0387211388692073	-2.6051738270064	4.11353352529823e-05	0.757387584127813	0.1	-4.78197567553895	0.1	-5.84688731690254	0.1	-6.2613913870433	0.1	3.35835949287174	0.1	-2.18100376679502	0.1	-3.24591540815861	0.1	-3.66041947829937	0.1	3.46159697203408	0.1	-2.07776628763268	0.1	-3.14267792899627	0.1	-3.55718199913703	0.1	4.5269391859432	0.1	-1.01242407372357	0.1	-2.07733571508716	0.1	-2.49183978522792	0.1	-4.03321669883925	0.232967032967033	-1.43224479009532	0.232967032967033	-1.32900731093298	0.232967032967033	-0.263665097023862	0.232967032967033	-3.02911288441767	0.00909090909090909	-2.92587540525533	0.00909090909090909	-1.86053319134621	0.00909090909090909
