PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24
PBANKA_0510700	3.83104264742034e-15	0.421641888739534	0.611878671388612	0.921642436536805	0.850316184893358	0.905122397195125	0.883746982574891	0.821915917380778	0.9423808483866	0.807888590645094	0.919688075655124	0.902318965459281	0.821413611506704	0.910167636807962	0.857670304349051	0.981129477029576	0.937481529764682	0.965918998824709	0.941575410703792	0.964578828598675	0.999609742619286	0.961911461316219	0.933258590694264	0.999999999999997
PBANKA_0832800	2.44116893494517e-10	0.214270145175837	0.2949492965557	0.939939323806101	0.827862905008791	0.836670576295917	0.686672310206544	0.802392785882188	0.914051760186412	0.671392303612377	0.78638318563597	0.802573310052055	0.990306765950951	0.809171252148755	0.863609599299234	0.931574648086841	0.88469272409317	0.961473531813366	0.967739902373472	0.908667808776592	0.895923143862693	0.967439687088825	0.969773896145494	0.99999999999999
PBANKA_1329100	4.98100893490186e-11	0.334511193002259	0.597279864005516	0.281444846739513	0.810560641604304	0.968731522044452	0.945008896749102	0.892056412181683	0.917494523532098	0.767381993545834	0.858350594945508	0.880121294832307	0.706280499692401	0.799330956614801	0.906640867238352	0.958905084015357	0.839161532181994	0.961551872435756	0.983990316438621	0.933420883718832	0.796742042661195	0.897578264255698	0.99674587035971	0.999999999999995
PBANKA_0511000	5.35234625418414e-08	0.0345393911158465	0.845885125918306	0.980936104648175	0.964684771304511	0.384211750927882	0.763927866248439	0.569764066089385	0.864379672041139	0.849531884303557	0.937362348326702	0.862019964653937	0.974261350833003	0.966137693473675	0.855548925803701	0.961442974298496	0.962214830151828	0.928631667423351	0.898679165592994	0.824477221324233	0.976526626054926	0.925748878889366	0.97803755154649	0.999999999999995
PBANKA_0706600	1.77614312666392e-09	0.778369749531058	0.073388936051131	0.938550494301668	0.832652136965661	0.587300039655567	0.888287523630977	0.635070438174285	0.837062026444154	0.694102721815692	0.841185613854821	0.947706029781215	0.884946817132549	0.858338337061632	0.908725762639945	0.950935383155275	0.933626096535856	0.919685649342111	0.86414585683194	0.932457374372894	0.928752304358257	0.991705939104302	0.998346838739972	0.999999999999993
PBANKA_0711600	1.22338529771929e-09	0.362825108959346	0.112413599668295	0.92473603343163	0.940157550977005	0.6090086275218	0.753220615062085	0.849526657827926	0.833124006834713	0.84944814444225	0.868343878588328	0.856929946296337	0.90902427944761	0.907453407643649	0.944952211184831	0.953743009333674	0.820864350837973	0.885495487259708	0.884549456539755	0.953703913827856	0.915047444632355	0.973374616979903	0.995202659385682	0.999999999999991
PBANKA_0901900	1.73766190693489e-13	0.328172114728676	0.961859796900584	0.474562514610412	0.829917973707679	0.925547918592537	0.980679731195611	0.982089974516467	0.910030489014334	0.912808504386506	0.96672445469321	0.905750013304025	0.823266729316698	0.90256087651965	0.815594795983235	0.977114987189109	0.88127297803243	0.878424038128297	0.96768540225065	0.909337070207382	0.911962670020972	0.930332673346396	0.947779602975892	0.99999999999999
PBANKA_1434600	4.62122980785828e-12	0.334406886222979	0.532377735318062	0.430989986890745	0.791804890527623	0.882387160836021	0.926914661937754	0.948808522485153	0.991909749425672	0.980824836706367	0.949653794848093	0.954971711818315	0.680100546656126	0.851369787901205	0.957239411856141	0.905037489779296	0.834269398034411	0.877885805116111	0.968272383208104	0.952135513341399	0.860697078337428	0.9983916847275	0.98703438246599	0.999999999999993
PBANKA_1410950	7.91693692362581e-13	0.39996486200069	0.320279241683342	0.882932971308188	0.920475789557123	0.958005660009525	0.70066347213467	0.907163489274172	0.921808161810822	0.83555917756899	0.876849484022128	0.980699171834665	0.863091396050675	0.943609207936314	0.912448532731188	0.998053867426687	0.939517235620281	0.946707237455178	0.970978423189525	0.988079336839055	0.936369803368399	0.997365163858861	0.985151928629527	0.999999999999995
PBANKA_1218100	1.51290970707634e-10	0.443021408507479	0.261696356886621	0.704998462943214	0.841506844086522	0.436133895252702	0.801936335872301	0.643856906776967	0.719619740209869	0.741088920840067	0.99063224658927	0.925934053479572	0.944024952158152	0.966222964906222	0.935959635385215	0.868375377188984	0.900322134104669	0.94692490921679	0.90865129868227	0.989053098689572	0.868927097375841	0.975521243886484	0.932123234088993	0.999999999999999
PBANKA_0711400	5.71325257800426e-10	0.525745407855723	0.0886592478487892	0.905391841749714	0.91646273894779	0.754727547033144	0.837047186612836	0.732451969640638	0.911204372296012	0.880223506754401	0.858716287431233	0.887205505739938	0.945151393535447	0.926012839059254	0.88347328538062	0.950573595903162	0.851941266364876	0.932459756319006	0.84229439748311	0.968772419816599	0.876833828207835	0.983929570730348	0.974869507843539	0.999999999999996
PBANKA_1037800	5.77833930268751e-13	0.543363096188191	0.327906884458578	0.588873556808447	0.779863569640094	0.897094690146871	0.714636339122466	0.97260912716261	0.900919703845959	0.964804950824439	0.87494156137012	0.929824139107455	0.949583768668242	0.954514244224391	0.942913581921003	0.95389899566452	0.898700154574456	0.944904348452931	0.922064317874068	0.976242993265206	0.87418169224858	0.998445260660503	0.98961220922554	0.99999999999999
PBANKA_1201800	6.73279826121225e-13	0.683816144093563	0.407209986023451	0.410831400119314	0.765069339184542	0.991940966187782	0.896092338120908	0.989963650638332	0.881866984322391	0.819565580125488	0.900942633205809	0.926335318928597	0.776449811528722	0.876735971871648	0.797628170309981	0.94246788397741	0.843212897134568	0.888251129865548	0.986039319915861	0.945066097338677	0.942958266104739	0.902573954647433	0.995798240395449	0.999999999999996
PBANKA_0403200	1.64262209054189e-13	0.438327727369535	0.761040797433295	0.836854528920508	0.797493679415672	0.805181402643644	0.580789367556466	0.652710646647328	0.99285916088357	0.997240853242425	0.75149967203881	0.955092328643305	0.945871144934781	0.803170900815042	0.9678295267024	0.800763267250166	0.942538279641794	0.774132076212764	0.850582880379848	0.999897382425145	0.908216890195564	0.967450572317578	0.950613466383579	1
PBANKA_1138600	1.82274874047152e-12	0.583537535291008	0.784941471326849	0.381480025971777	0.541665714832034	0.731594317203852	0.968292808814312	0.851664215945366	0.835867472952483	0.791321490494633	0.813498328955985	0.934772338032165	0.74735722097437	0.829750451817251	0.954510509563059	0.993924624732241	0.761547098390839	0.913216382218148	0.998700719076682	0.941626751054996	0.81012689748885	0.910388948485859	0.973514670975507	0.999999999999999
