PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24
PBANKA_0706500	0.916186925367811	0.107139918419581	-0.289108115278555	0.0238853906589438	-0.066044955920432	0.167233797342806	-0.111872056237585	-0.0493920878739479	-0.0541489254777077	0.0725292192047415	0.0819633442732576	-0.00672140575627951	-0.0292219263766965	-0.017832171938793	-0.0101760025497212	0.000190847966520455	-0.0191881315247067	-0.020067781238055	0.00358771576493679	-0.00263446714275303	0.0244685022752428	0.00113215771179658	-0.00791009314354296	2.8211320730801e-16
PBANKA_1040100	-0.944475391007351	0.121323355470361	0.221136218515359	-0.165027915984169	-0.0341303012661045	0.0280011447363547	0.040961172091399	0.0212111676773594	0.0304661455525694	-0.000677461374674783	0.0539185628076275	0.00266172308392907	-0.0643792185845572	0.0239099103185796	-0.0102683878369269	-0.0150732040057922	-0.0210186333201821	-0.00552361511149878	-0.000230838857307381	-0.0145650269207858	0.0580171933784137	-0.00783146867711945	0.00556802991737441	2.69982544321297e-17
PBANKA_1460000	0.939764429285899	0.0523048589910822	-0.271915458234722	-0.0195395797523135	-0.0120012117996047	0.130448346020924	-0.102056608872989	0.0136451398378891	-0.00348257322570575	0.00742931278101718	0.0780487332954042	0.0142264010673831	-0.025299736251893	-0.00705148423646407	-0.0332526922569821	0.0251844776523364	-0.0297959658148074	-0.0220684054179071	0.00190047399500736	-0.00699380541745999	0.0361749437718401	-0.00182901473700402	-0.0222314503483301	2.36965440914186e-16
PBANKA_1006400	0.953937570682241	0.0863244403378837	-0.209604348948121	-0.0403048789321468	0.0240594692403958	0.0324732985399766	-0.0180936393316836	-0.0848020944249801	0.0412261225057024	0.0825584933655335	0.0764778096683016	0.0282031795462991	0.0601111717697526	-0.0114745306729613	-0.0072242264430805	0.0411119980986441	-0.0363523375588882	-0.0411370803391704	0.048707366538993	0.0102892724233135	0.0219818926198241	-0.0238042150196415	-0.0255252533868833	-3.53751060106857e-16
PBANKA_1421700	-0.896434508694305	0.178956210080164	0.252560026955353	-0.25176390563177	0.0797737967805752	-0.0291221839645396	0.0209247395166031	0.0419438041626866	0.0146942314149981	-0.0786264037443175	0.0342879259889444	-0.0424308076723966	-0.0822819825078721	0.0454386166513214	-0.0473398068140224	-0.0148807317483855	-0.0556992739548214	-0.0298359053209852	-0.00644278782752779	-0.0190511885027094	0.0445604956664031	-0.0269384270000971	-0.00438292194148507	4.5799943961075e-16
PBANKA_1419300	-0.931149188498594	0.19045008800783	-0.0269524858094254	-0.17708704034634	0.065972303491907	0.138905833155542	0.0134395741388505	0.100252532078157	0.0243348302301338	-0.0826071596994339	0.0350068391800293	-0.0265616062591933	-0.0627640969997069	0.0837399601722698	-0.0387558226859757	0.0183684294565649	-0.0531704753569608	-0.00116756583684839	-0.00239607043409467	-0.0316303908698836	0.0678038778711889	0.0124454328982319	-0.000371929213215565	-2.92468512051193e-16
PBANKA_0417600	-0.96216822576215	0.0838976005462695	0.0502739927651335	-0.177746604516736	0.0442786911297688	0.10164334449143	0.00144571318966495	0.0900929083254527	0.0378588099037543	-0.0209175113361723	0.0635689257756221	0.0165470728019031	-0.0318320826687406	0.0378547379437253	-0.0186875673261018	-0.0247116864329018	-0.0447792685363921	-0.0134986224562603	0.00873933851691222	-0.0226022636978875	0.0136764003895565	0.0095794156591393	0.00401619369448528	3.14282432195375e-16
PBANKA_1112000	0.883237575180581	0.348376816345375	-0.226697441800713	-0.00789136263469201	0.0538333613611911	0.0952159651844344	-0.0202426660125657	-0.000743368114165673	-0.0981697913775873	0.0911739879276881	-0.0108948926107546	-0.0715440342925492	0.0428662585666357	0.0267493941588274	-0.0469270832188719	-0.0153232635966129	-0.0654748940187969	-0.00829390544096402	-0.00459760962224106	0.0248261270287756	0.0372201180487944	0.00862320024836498	-0.00814700390361286	2.69807992960105e-16
PBANKA_0513700	0.934632741770885	0.221401280495859	-0.101149984582018	-0.106270867351828	0.00460544390700614	0.157681390771909	0.0520119164671042	-0.0671474725397954	0.0277264351109638	0.0927258739898085	-0.0280691856473517	-0.0852345651628311	0.0234277892328952	-0.0114834472743075	-0.0196562968942611	0.0402222378689529	0.0260207215565291	-0.00572358659674706	0.0529056165177348	0.00477047683047947	0.00332445397296998	-0.00166490604803634	-0.0130244096250853	1.28053758319576e-17
PBANKA_1138900	-0.96290664795295	-0.0451702020853597	0.124587928151901	-0.167270703737867	-0.0351577573024275	0.0759722030720824	0.0436496140696107	0.0410153087127055	0.0419605475758881	0.0692881552826167	0.0641043543741757	0.00577620602163805	-0.00891475720390475	0.0204108519122704	-0.0455876485271407	0.0052459510898064	0.0135639640254957	-0.0106522764193076	-0.0213920728291977	-0.0334597976630297	0.0360394907150898	-0.0133228835596029	-0.00404212100222133	3.01534610359979e-16
PBANKA_1005600	-0.946189852677748	0.113108527691798	0.188739826573263	-0.031392115864135	0.0905693642839689	0.0498320794012451	0.0318357766326325	0.0613120408321066	0.0548853728002286	-0.131876138688901	0.00922838810902961	0.00651440752581906	-0.11234590875509	0.0367847545255119	0.0212290730317283	-0.0014180484447328	-0.0302680450984718	-0.00388717975997555	-0.00479556322984803	-0.00707804248106889	0.0572502079649816	-0.0239330790909155	0.00713033751852322	3.00216858469111e-16
